serial,uprodid,CV_Set,WPI,upurint,rtachv,rtanxt,rtbcar,rtcalm,rtclin,rtcntl,rtcreg,rtdrnk,rtfred,rtfutr,rtheal,rtkeep,rtomta,rtpink,rtposs,rtprov,rtpsup,rtresl,rtsmle,rttime,rttpas
1,G,5,100,100,50,50,75,75,50,50,75,75,75,75,75,75,75,50,75,50,50,75,75,75,50
2,G,3,100,100,50,75,75,75,75,75,75,50,50,50,75,75,50,50,75,75,50,75,50,75,75
3,H,5,0,25,75,50,50,50,50,50,25,25,25,50,50,50,50,50,75,100,50,50,50,50,75
4,G,2,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
5,H,2,50,75,75,75,50,75,75,75,75,75,75,75,75,50,75,50,75,75,50,75,75,75,75
6,G,4,100,100,100,75,100,100,100,100,100,75,100,100,100,100,75,100,100,100,100,100,100,100,100
7,G,1,0,25,50,50,25,50,50,25,25,50,50,50,50,25,50,50,50,50,50,25,50,50,25
8,P,3,50,75,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
9,H,5,100,100,100,100,100,75,100,100,100,100,75,50,100,100,100,100,100,100,100,100,100,100,100
10,G,4,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
11,P,1,100,100,75,75,50,75,75,75,50,50,75,75,75,50,75,75,50,75,75,50,75,75,75
12,P,5,0,50,25,25,25,50,25,50,25,25,50,25,25,25,25,25,25,25,0,25,50,25,25
13,P,2,0,50,50,50,50,50,50,50,25,25,50,50,50,50,50,50,25,50,50,50,50,50,50
14,G,1,100,100,50,50,50,50,50,50,50,25,50,50,50,50,50,50,50,50,50,50,50,50,50
15,H,3,0,50,100,75,100,75,75,100,75,75,100,100,75,100,100,100,100,75,100,100,75,100,100
16,P,5,50,75,75,75,50,75,75,75,75,25,50,50,75,75,50,50,50,75,75,75,50,75,75
17,G,2,100,100,100,75,100,100,75,100,75,75,75,75,75,100,75,100,75,100,75,75,75,100,75
